2024/04/05 13:25:14 [error] 14132#42744: *1207 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/brand-4.png HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1208 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/brand-6.png HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1203 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/brand-7.png HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1207 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-content/themes/convertTheme/assets/fonts/flaticon.woff2?37838e573d8eb3b9effe3d291aafe6ff HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-content/themes/convertTheme/assets/css/flaticon.css?ver=6.5"
2024/04/05 13:25:14 [error] 14132#42744: *1205 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/brand-8.png HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1202 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/brand-9.png HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1203 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/700x700_5.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1207 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/700x700_7.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1208 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/700x700_6.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1205 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/700x700_8.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1202 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/700x700_9.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1207 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/700x700_10.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1203 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/blog/700x600_1.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1202 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/blog/700x700_4.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1205 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/blog/700x600_2.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1203 no live upstreams while connecting to upstream, client: ::1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/customize.php?url=http%3A%2F%2Flocalhost%3A10004%2F"
2024/04/05 13:25:14 [error] 14132#42744: *1203 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/customize.php?url=http%3A%2F%2Flocalhost%3A10004%2F"
2024/04/05 13:25:16 [error] 14132#42744: *1203 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-admin/customize.php?url=http%3A%2F%2Flocalhost%3A10004%2F HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/"
2024/04/05 13:25:17 [error] 14132#42744: *1203 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-admin/themes.php HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/"
2024/04/14 14:29:09 [error] 22248#656: *1629 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "OPTIONS /wp-json/wp/v2/navigation/52?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=35&action=edit"
2024/04/14 14:29:09 [error] 22248#656: *1631 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/pages/78?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=35&action=edit"
2024/04/14 14:29:09 [error] 22248#656: *1625 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/pages/99?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=35&action=edit"
2024/04/14 14:29:09 [error] 22248#656: *1630 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/navigation/52?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=35&action=edit"
2024/04/14 14:29:09 [error] 22248#656: *1630 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/navigation/52?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=35&action=edit"
2024/04/14 14:29:09 [error] 22248#656: *1629 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "OPTIONS /wp-json/wp/v2/navigation/52?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=35&action=edit"
2024/04/14 14:29:09 [error] 22248#656: *1625 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/pages/99?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=35&action=edit"
2024/04/14 14:29:09 [error] 22248#656: *1626 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/pages/88?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=35&action=edit"
2024/04/14 14:29:09 [error] 22248#656: *1626 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/pages/88?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=35&action=edit"
2024/04/14 14:29:09 [error] 22248#656: *1631 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/pages/78?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=35&action=edit"
2024/04/14 16:22:59 [error] 22248#656: *3647 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=88&action=edit"
2024/04/14 16:22:59 [error] 22248#656: *3651 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "OPTIONS /wp-json/wp/v2/pages/88?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=88&action=edit"
2024/04/14 16:22:59 [error] 22248#656: *3652 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/pages?context=edit&per_page=100&exclude=88&parent_exclude=88&orderby=menu_order&order=asc&_fields=id%2Ctitle%2Cparent&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=88&action=edit"
2024/04/14 16:22:59 [error] 22248#656: *3650 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/pages/35?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=88&action=edit"
2024/04/14 16:22:59 [error] 22248#656: *3650 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/pages/35?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=88&action=edit"
2024/04/14 16:22:59 [error] 22248#656: *3646 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/templates/lookup?slug=page-88-2&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=88&action=edit"
2024/04/14 16:22:59 [error] 22248#656: *3646 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/templates/lookup?slug=page-88-2&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=88&action=edit"
2024/04/14 16:22:59 [error] 22248#656: *3652 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/pages?context=edit&per_page=100&exclude=88&parent_exclude=88&orderby=menu_order&order=asc&_fields=id%2Ctitle%2Cparent&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=88&action=edit"
2024/04/14 16:22:59 [error] 22248#656: *3651 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "OPTIONS /wp-json/wp/v2/pages/88?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=88&action=edit"
2024/04/14 16:22:59 [error] 22248#656: *3647 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/users?context=view&who=authors&per_page=50&_fields=id%2Cname&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=88&action=edit"
2024/04/14 16:22:59 [error] 22248#656: *3649 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/wp_pattern_category?context=view&per_page=100&_fields=id%2Cname%2Cdescription%2Cslug&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=88&action=edit"
2024/04/14 16:22:59 [error] 22248#656: *3649 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/wp_pattern_category?context=view&per_page=100&_fields=id%2Cname%2Cdescription%2Cslug&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=88&action=edit"
2024/04/14 16:22:59 [error] 22248#656: *3651 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/themes?context=edit&status=active&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=88&action=edit"
2024/04/14 16:22:59 [error] 22248#656: *3646 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=88&action=edit"
2024/04/14 16:22:59 [error] 22248#656: *3650 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/templates?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-admin/post.php?post=88&action=edit"
